n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mse,mae,rmse,r2,test_score,train_score
50,20,5,1,sqrt,6117677.709361801,1115.3147742704796,2473.3939656596967,0.9881169478401339,0.9881169478401339,0.9938917067272095
50,20,5,1,log2,6117677.709361801,1115.3147742704796,2473.3939656596967,0.9881169478401339,0.9881169478401339,0.9938917067272095
50,20,5,2,sqrt,6252526.629910841,1144.4087978249702,2500.505274921619,0.9878550156441743,0.9878550156441743,0.9927106847922547
50,20,5,2,log2,6252526.629910841,1144.4087978249702,2500.505274921619,0.9878550156441743,0.9878550156441743,0.9927106847922547
50,20,5,10,sqrt,7409033.560415191,1354.878506680593,2721.9539967485107,0.9856086024084135,0.9856086024084135,0.9872064244639913
50,20,5,10,log2,7409033.560415191,1354.878506680593,2721.9539967485107,0.9856086024084135,0.9856086024084135,0.9872064244639913
50,20,20,1,sqrt,6469630.922884924,1216.579170277429,2543.5469177675736,0.9874333096047088,0.9874333096047088,0.9899949369162878
50,20,20,1,log2,6469630.922884924,1216.579170277429,2543.5469177675736,0.9874333096047088,0.9874333096047088,0.9899949369162878
50,20,20,2,sqrt,6574035.157073793,1225.5213117928192,2563.9881351273434,0.98723051354066,0.98723051354066,0.9896632427231209
50,20,20,2,log2,6574035.157073793,1225.5213117928192,2563.9881351273434,0.98723051354066,0.98723051354066,0.9896632427231209
50,20,20,10,sqrt,7409033.560415191,1354.878506680593,2721.9539967485107,0.9856086024084135,0.9856086024084135,0.9872064244639913
50,20,20,10,log2,7409033.560415191,1354.878506680593,2721.9539967485107,0.9856086024084135,0.9856086024084135,0.9872064244639913
100,,2,1,sqrt,6271991.6812848,983.790968568985,2504.394473976654,0.9878172064898253,0.9878172064898253,0.9982006395612095
100,,2,1,log2,6271991.6812848,983.790968568985,2504.394473976654,0.9878172064898253,0.9878172064898253,0.9982006395612095
100,,2,2,sqrt,6032773.427127776,1036.9355560061624,2456.1704800619555,0.9882818669585175,0.9882818669585175,0.994576842993664
100,,2,2,log2,6032773.427127776,1036.9355560061624,2456.1704800619555,0.9882818669585175,0.9882818669585175,0.994576842993664
100,,2,10,sqrt,7105233.251062581,1296.5057032267048,2665.564340071832,0.9861987078526241,0.9861987078526241,0.9878543762177275
100,,2,10,log2,7105233.251062581,1296.5057032267048,2665.564340071832,0.9861987078526241,0.9861987078526241,0.9878543762177275
100,,5,1,sqrt,5993462.7900151685,1009.7907783880345,2448.1549767151523,0.9883582244218294,0.9883582244218294,0.9956315599215912
100,,5,1,log2,5993462.7900151685,1009.7907783880345,2448.1549767151523,0.9883582244218294,0.9883582244218294,0.9956315599215912
100,,5,2,sqrt,6027717.928751329,1040.9274197442949,2455.1411219625093,0.9882916868205233,0.9882916868205233,0.9942195963181498
100,,5,2,log2,6027717.928751329,1040.9274197442949,2455.1411219625093,0.9882916868205233,0.9882916868205233,0.9942195963181498
100,,5,10,sqrt,7105233.251062581,1296.5057032267048,2665.564340071832,0.9861987078526241,0.9861987078526241,0.9878543762177275
100,,5,10,log2,7105233.251062581,1296.5057032267048,2665.564340071832,0.9861987078526241,0.9861987078526241,0.9878543762177275
